Folder,Base,Mixed,BaseValue,MixedValue,Difference
10311_results,Min Comp,Min Comp+Centroids_saturation_high,92,41,-51
10311_results,Min Comp,Min Comp+Centroids_saturation_medium,92,40,-52
10311_results,Min Comp,Min Comp+Centroids_saturation_low,92,45,-47
10311_results,Min Comp,Min Comp+Random,92,47,-45
10311_results,Min Comp,Min Comp+LHS,92,60,-32
10311_results,Min Comp,Min Comp+K-Means,92,58,-34
10311_results,Min Comp,Min Comp+Farthest,92,53,-39
10311_results,Min Comp,Min Comp+ODAL,92,42,-50
10311_results,Min Comp,Min Comp+K-Center,92,40,-52
10311_results,Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,79,-21
10311_results,Centroids_saturation_high,Centroids_saturation_high+Max Comp,100,72,-28
10311_results,Centroids_saturation_high,Centroids_saturation_high+Min Comp,100,41,-59
10311_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,100,100,0
