ID,x,y,Au,Cu,Pd,Pt,Resistance
149,9000.0,-4500.0,0.2018,0.1882,0.3782,0.2318,1.0095928666666667
150,13500.0,-4500.0,0.1825182518251825,0.1986198619861986,0.3979397939793979,0.2209220922092209,1.0027987333333332
151,18000.0,-4500.0,0.17149999999999999,0.2078,0.41359999999999997,0.2071,0.9938586633333332
152,22500.0,-4500.0,0.14948505149485053,0.21537846215378464,0.4352564743525648,0.19988001199880012,0.98560784
153,27000.0,-4500.0,0.1389,0.22210000000000002,0.4531,0.1859,0.9766506033333332
154,31500.0,-4500.0,0.12199999999999997,0.23689999999999997,0.46849999999999997,0.1726,0.96579439
155,36000.0,-4500.0,0.1131,0.2369,0.4879,0.16210000000000002,0.9562380966666668
156,40500.0,-4500.0,0.10099999999999999,0.24350000000000002,0.5068,0.1487,0.9471386166666668
157,45000.0,-4500.0,0.09249075092490752,0.23817618238176186,0.5246475352464753,0.14468553144685534,0.95048152
158,-45000.0,0.0,0.41119999999999995,0.1072,0.153,0.3286,1.1150387333333331
159,-40500.0,0.0,0.4019,0.1033,0.1616,0.3332,1.0992452666666668
160,-36000.0,0.0,0.3823,0.109,0.1797,0.32899999999999996,1.0866330666666668
161,-31500.0,0.0,0.3593,0.1209,0.1948,0.325,1.0770088999999998
162,-27000.0,0.0,0.3404659534046595,0.12288771122887711,0.21057894210578942,0.32606739326067397,1.0683025000000002
163,-22500.0,0.0,0.3131,0.1361,0.22760000000000002,0.3232,1.0606150666666667
164,-18000.0,0.0,0.2984,0.142,0.2366,0.32299999999999995,1.0538207
165,-13500.0,0.0,0.2844,0.15460000000000002,0.2522,0.30879999999999996,1.0477100666666666
166,-9000.0,0.0,0.26227377262273777,0.15368463153684633,0.28697130286971306,0.297070292970703,1.0421271666666667
167,-4500.0,0.0,0.24230000000000002,0.1705,0.302,0.2852,1.0372982666666666
168,0.0,0.0,0.2289,0.1705,0.3209,0.2797,1.0314848
169,4500.0,0.0,0.19780000000000003,0.19440000000000004,0.3401,0.26770000000000005,1.0257645666666666
170,9000.0,0.0,0.1908190819081908,0.19851985198519853,0.3564356435643565,0.2542254225422543,1.0196795
171,13500.0,0.0,0.1714,0.2052,0.38380000000000003,0.2396,1.0124454333333337
172,18000.0,0.0,0.158,0.2188,0.3936,0.2296,1.005849
173,22500.0,0.0,0.14529999999999998,0.2274,0.41200000000000003,0.21530000000000002,0.99794642
174,27000.0,0.0,0.12960000000000002,0.2278,0.43770000000000003,0.20489999999999997,0.9891787833333332
175,31500.0,0.0,0.11630000000000001,0.23920000000000002,0.45380000000000004,0.1907,0.9818862866666668
176,36000.0,0.0,0.1052894710528947,0.24257574242575744,0.4737526247375263,0.1783821617838216,0.97250592
177,40500.0,0.0,0.09179999999999998,0.25249999999999995,0.4881,0.1676,0.9642890533333334
178,45000.0,0.0,0.0858,0.2544,0.5046,0.1552,0.96765233
179,-45000.0,4500.0,0.39390000000000003,0.0983,0.1447,0.36310000000000003,1.1390367
180,-40500.0,4500.0,0.3703,0.10640000000000001,0.153,0.3703,1.118974
181,-36000.0,4500.0,0.3535646435356465,0.10658934106589342,0.17268273172682733,0.36716328367163287,1.1020004666666667
182,-31500.0,4500.0,0.33236676332366766,0.1234876512348765,0.1813818618138186,0.3627637236276372,1.0896066666666668
183,-27000.0,4500.0,0.31536846315368466,0.12788721127887212,0.19678032196780323,0.3599640035996401,1.0783752333333332
184,-22500.0,4500.0,0.2961,0.1292,0.2254,0.3493,1.0689081333333337
185,-18000.0,4500.0,0.2813,0.1467,0.23120000000000002,0.3408,1.0618799333333333
186,-13500.0,4500.0,0.2645,0.16140000000000002,0.2439,0.33020000000000005,1.0552803666666668
187,-9000.0,4500.0,0.2418,0.1628,0.2713,0.32409999999999994,1.0501966
188,-4500.0,4500.0,0.22469999999999998,0.1789,0.2834,0.313,1.044559866666667
189,0.0,4500.0,0.2102,0.1912,0.2954,0.3032,1.0386851
190,4500.0,4500.0,0.18960000000000002,0.1986,0.32520000000000004,0.2866,1.0329691666666667
191,9000.0,4500.0,0.1765823417658234,0.20757924207579243,0.3363663633636636,0.2794720527947205,1.0277694333333334
192,13500.0,4500.0,0.16079999999999997,0.21780000000000002,0.3593,0.2621,1.0219156333333332
193,18000.0,4500.0,0.14730000000000001,0.22519999999999998,0.3812,0.2463,1.0152825
194,22500.0,4500.0,0.1304,0.2382,0.39840000000000003,0.233,1.0093888333333334
195,27000.0,4500.0,0.12161216121612162,0.24422442244224427,0.41554155415541555,0.21862186218621862,1.003728
196,31500.0,4500.0,0.10458954104589543,0.25587441255874416,0.4327567243275673,0.20677932206779323,0.9951085666666668
197,36000.0,4500.0,0.09820982098209821,0.2542254225422543,0.4523452345234523,0.19521952195219522,0.98946957
198,40500.0,4500.0,0.09259999999999999,0.2623,0.4674999999999999,0.17759999999999998,0.9837603
199,45000.0,4500.0,0.0842,0.2755,0.4765,0.1638,0.9886827533333334
200,-45000.0,9000.0,0.3599,0.09230000000000001,0.1476,0.40020000000000006,1.1541457666666666
201,-40500.0,9000.0,0.34630000000000005,0.102,0.1508,0.40090000000000003,1.1285679333333334
202,-36000.0,9000.0,0.32343234323432346,0.1166116611661166,0.1672167216721672,0.3927392739273927,1.1104012333333333
203,-31500.0,9000.0,0.3107689231076892,0.12178782121787822,0.17788221177882213,0.38956104389561047,1.0959941666666666
204,-27000.0,9000.0,0.2953,0.13140000000000002,0.1882,0.3851,1.0833383333333333
205,-22500.0,9000.0,0.2733,0.1366,0.20620000000000002,0.3839,1.0723978333333333
206,-18000.0,9000.0,0.2609260926092609,0.1478147814781478,0.22042204220422043,0.3708370837083708,1.0649277666666666
207,-13500.0,9000.0,0.23879999999999998,0.1592,0.2322,0.36979999999999996,1.0585246
208,-9000.0,9000.0,0.2206,0.1722,0.2559,0.3513,1.0528512333333333
209,-4500.0,9000.0,0.21107889211078892,0.18498150184981504,0.27177282271772824,0.3321667833216678,1.048351
210,0.0,9000.0,0.1898,0.19469999999999998,0.2871,0.3284,1.043182
211,4500.0,9000.0,0.1747,0.2054,0.3068,0.3131,1.0386004333333334
212,9000.0,9000.0,0.1576,0.2086,0.3337,0.30010000000000003,1.0334494
213,13500.0,9000.0,0.1452854714528547,0.2287771222877712,0.34336566343365665,0.28257174282571745,1.0291712666666666
214,18000.0,9000.0,0.13121312131213123,0.23122312231223124,0.36583658365836585,0.27172717271727176,1.0252854666666666
215,22500.0,9000.0,0.11950000000000001,0.23930000000000004,0.3854,0.2558,1.0200569666666666
216,27000.0,9000.0,0.1108,0.2521,0.3996,0.2375,1.0164418333333334
217,31500.0,9000.0,0.10171017101710171,0.27092709270927096,0.4074407440744075,0.21992199219921993,1.0104919
218,36000.0,9000.0,0.09210921092109212,0.26632663266326634,0.4310431043104311,0.21052105210521055,1.0058079333333334
219,40500.0,9000.0,0.08370000000000001,0.26600000000000007,0.45230000000000004,0.19800000000000004,1.001970933333333
220,45000.0,9000.0,0.0798,0.2828,0.4603999999999999,0.17699999999999996,1.017982333333333
221,-45000.0,13500.0,0.32549999999999996,0.1144,0.1322,0.4279,1.1628715333333333
222,-40500.0,13500.0,0.3146314631463147,0.1145114511451145,0.14431443144314432,0.42654265426542654,1.1310463000000002
223,-36000.0,13500.0,0.2993,0.1207,0.1583,0.4217,1.1104275666666663
224,-31500.0,13500.0,0.2862,0.1277,0.16469999999999999,0.4214,1.0950992666666666
225,-27000.0,13500.0,0.2672,0.1402,0.18489999999999998,0.4077,1.0829787666666666
226,-22500.0,13500.0,0.2529,0.1447,0.1956,0.4068,1.0727966666666666
227,-18000.0,13500.0,0.2308769123087691,0.1524847515248475,0.214978502149785,0.4016598340165983,1.0657398333333332
228,-13500.0,13500.0,0.22387761223877614,0.16628337166283372,0.21377862213778623,0.396060393960604,1.0594723
229,-9000.0,13500.0,0.2096,0.1815,0.2389,0.37,1.0547466333333333
230,-4500.0,13500.0,0.187,0.1893,0.265,0.35869999999999996,1.0502146666666667
231,0.0,13500.0,0.175,0.1918,0.2776,0.3556,1.045879
232,4500.0,13500.0,0.1603,0.2082,0.2888,0.3427,1.0425262
233,9000.0,13500.0,0.15500000000000003,0.21650000000000003,0.31360000000000005,0.3149,1.0391620333333331
234,13500.0,13500.0,0.1408140814081408,0.23102310231023102,0.3252325232523252,0.3029302930293029,1.0361871
235,18000.0,13500.0,0.125987401259874,0.25027497250274977,0.33726627337266274,0.28647135286471354,1.0328702666666667
236,22500.0,13500.0,0.1153,0.24670000000000003,0.3639,0.2741,1.028796066666667
237,27000.0,13500.0,0.1035,0.2621,0.3804,0.254,1.0276937333333334
238,31500.0,13500.0,0.0978,0.2697,0.3886,0.2439,1.0254621666666666
239,36000.0,13500.0,0.08889999999999999,0.27459999999999996,0.41389999999999993,0.2226,1.0221785
240,40500.0,13500.0,0.0801,0.2861,0.42560000000000003,0.2082,1.0224385666666669
241,45000.0,13500.0,0.07039296070392961,0.2927707229277073,0.4414558544145586,0.19538046195380462,1.0786247666666666
242,-40500.0,18000.0,0.2849,0.1092,0.1409,0.465,1.1263048666666668
243,-36000.0,18000.0,0.2731,0.127,0.1454,0.4545,1.1040792
244,-31500.0,18000.0,0.2535,0.1321,0.1561,0.4583,1.0900192666666666
245,-27000.0,18000.0,0.24737526247375263,0.13918608139186084,0.16978302169783024,0.44365563443655637,1.077686266666667
246,-22500.0,18000.0,0.2327,0.1494,0.174,0.4439,1.0681747666666666
247,-18000.0,18000.0,0.21747825217478253,0.16278372162783725,0.19108089191080893,0.4286571342865714,1.0618950666666669
248,-13500.0,18000.0,0.2046,0.1607,0.21710000000000002,0.41759999999999997,1.0568071666666667
249,-9000.0,18000.0,0.18908109189081093,0.18248175182481755,0.22777722227777225,0.4006599340065994,1.0529890666666666
