ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
167,-4500,0,0.2414241424142414,0.20512051205120513,0.1632163216321632,0.217021702170217,0.1732173217321732,0.89611878
168,0,0,0.26249999999999996,0.21849999999999997,0.1566,0.20069999999999996,0.16169999999999998,0.8950617466666666
169,4500,0,0.27847215278472154,0.22657734226577342,0.14788521147885209,0.18688131186881313,0.1601839816018398,0.8934648533333333
170,9000,0,0.2958,0.23920000000000002,0.1432,0.16920000000000002,0.15259999999999999,0.8938005866666666
171,13500,0,0.3113311331133113,0.2539253925392539,0.1304130413041304,0.15061506150615062,0.1537153715371537,0.8925887699999999
172,18000,0,0.31970000000000004,0.26880000000000004,0.12100000000000001,0.1378,0.15270000000000003,0.89220299
173,22500,0,0.344,0.2752,0.11599999999999999,0.1192,0.1456,0.8909842833333333
174,27000,0,0.3582,0.2785,0.10890000000000001,0.10890000000000001,0.14550000000000002,0.8871948733333334
175,31500,0,0.3643,0.2999,0.09699999999999999,0.09970000000000001,0.1391,0.8834275366666666
176,36000,0,0.3778,0.3091,0.0915,0.0883,0.1333,0.8851742966666667
177,40500,0,0.386,0.3166,0.0837,0.08689999999999999,0.1268,0.8865790233333333
178,45000,0,0.4068,0.32539999999999997,0.0727,0.0687,0.1264,0.8969088533333333
179,-45000,4500,0.12369999999999999,0.11560000000000001,0.23120000000000002,0.39659999999999995,0.1329,0.91108661
180,-40500,4500,0.13369999999999999,0.1219,0.2281,0.3668,0.1495,0.90260081
181,-36000,4500,0.13870000000000002,0.1426,0.23120000000000004,0.3401,0.14740000000000003,0.8966941199999999
182,-31500,4500,0.15,0.1481,0.2231,0.3258,0.153,0.8961646833333333
183,-27000,4500,0.16549999999999998,0.1601,0.21979999999999997,0.306,0.14859999999999998,0.89625689
184,-22500,4500,0.176982301769823,0.17028297170282972,0.206979302069793,0.28547145285471454,0.16028397160283972,0.8940444
185,-18000,4500,0.1931,0.1884,0.2046,0.2602,0.1537,0.8921923166666667
186,-13500,4500,0.21347865213478656,0.18558144185581443,0.19948005199480054,0.24627537246275374,0.15518448155184483,0.8927306500000001
187,-9000,4500,0.2168216821682168,0.20352035203520352,0.1943194319431943,0.2252225222522252,0.16011601160116012,0.8923640933333333
188,-4500,4500,0.24170000000000003,0.2198,0.1858,0.2039,0.14880000000000002,0.8914970966666667
189,0,4500,0.25420000000000004,0.223,0.17350000000000002,0.195,0.1543,0.88991058
190,4500,4500,0.2755,0.2403,0.1642,0.1727,0.14730000000000001,0.88814545
191,9000,4500,0.2897,0.25720000000000004,0.15490000000000004,0.15880000000000002,0.13940000000000002,0.8877322099999999
