ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
22,18000,-36000,0.13071307130713072,0.23262326232623265,0.1758175817581758,0.39923992399239927,0.06160616061606161,0.7352019066666667
23,22500,-36000,0.12198780121987801,0.21047895210478954,0.18988101189881013,0.41925807419258077,0.05839416058394161,0.76897572
24,27000,-36000,0.11109999999999998,0.18839999999999998,0.2001,0.44279999999999997,0.05759999999999999,0.8037261033333334
25,-31500,-31500,0.2943,0.3948,0.0946,0.147,0.0693,0.4181290066666667
26,-27000,-31500,0.2843,0.386,0.0986,0.1623,0.0688,0.4342806566666667
27,-22500,-31500,0.26522652265226526,0.36903690369036907,0.10681068106810682,0.18731873187318734,0.07160716071607161,0.4545495033333333
28,-18000,-31500,0.2443,0.3712,0.1127,0.19899999999999998,0.0728,0.47699065
29,-13500,-31500,0.23129999999999998,0.34979999999999994,0.12269999999999999,0.2214,0.0748,0.5020504366666666
30,-9000,-31500,0.2181,0.33020000000000005,0.1331,0.2463,0.0723,0.52755705
31,-4500,-31500,0.1961,0.3156,0.13949999999999999,0.2732,0.0756,0.5580982066666667
32,0,-31500,0.1814,0.2945,0.1551,0.2977,0.0713,0.5911771033333333
33,4500,-31500,0.17190000000000003,0.2767,0.15990000000000001,0.3177,0.0738,0.6261448233333333
