ID,x,y,Ag,Au,Pd,Pt,Rh,Resistance
174,27000,0,0.13390000000000002,0.3868,0.2865,0.0776,0.1152,0.7708517500000001
175,31500,0,0.1174117411741174,0.41914191419141905,0.28802880288028804,0.0739073907390739,0.10151015101510151,0.7438369766666667
176,36000,0,0.1138,0.42539999999999994,0.30779999999999996,0.0629,0.09009999999999999,0.7169201066666667
177,40500,0,0.0964,0.43920000000000003,0.3141,0.062400000000000004,0.08789999999999999,0.6907303633333334
178,45000,0,0.08200820082008202,0.46134613461346147,0.3252325232523253,0.05210521052105212,0.07930793079307932,0.6737424233333333
179,-45000,4500,0.45380000000000004,0.1014,0.06709999999999999,0.1246,0.2531,0.9779317533333334
180,-40500,4500,0.43579999999999997,0.1103,0.0814,0.1323,0.2402,0.97537211
181,-36000,4500,0.403059694030597,0.12268773122687732,0.10448955104489552,0.13658634136586342,0.23317668233176686,0.9737204133333334
182,-31500,4500,0.383,0.13940000000000002,0.10880000000000002,0.13110000000000002,0.23770000000000002,0.9708067166666666
183,-27000,4500,0.3660633936606339,0.15128487151284872,0.1251874812518748,0.1340865913408659,0.2233776622337766,0.9664986133333334
184,-22500,4500,0.3434343434343434,0.16851685168516853,0.134013401340134,0.1386138613861386,0.21542154215421538,0.96108218
185,-18000,4500,0.3152,0.1893,0.1518,0.1364,0.2073,0.9544019533333332
186,-13500,4500,0.29687031296870314,0.2074792520747925,0.15298470152984703,0.1378862113788621,0.2047795220477952,0.9446508166666666
187,-9000,4500,0.27577242275772423,0.23147685231476853,0.16948305169483052,0.13248675132486754,0.1907809219078092,0.9328754466666668
188,-4500,4500,0.25129999999999997,0.24739999999999998,0.193,0.1331,0.1752,0.91838367
189,0,4500,0.23270000000000002,0.27640000000000003,0.20820000000000002,0.12330000000000002,0.15940000000000001,0.9010435933333334
190,4500,4500,0.2072207220722072,0.30043004300430043,0.21982198219821983,0.12151215121512152,0.15101510151015102,0.8820232166666667
191,9000,4500,0.19440000000000002,0.3153,0.2335,0.1167,0.1401,0.8602249733333333
192,13500,4500,0.18209999999999998,0.33059999999999995,0.24799999999999997,0.10819999999999999,0.13109999999999997,0.83723702
193,18000,4500,0.15990000000000001,0.3566,0.2652,0.0973,0.121,0.81253005
194,22500,4500,0.14229999999999998,0.3681,0.27849999999999997,0.09769999999999998,0.11339999999999999,0.7871698666666667
195,27000,4500,0.13390000000000002,0.3855,0.2963,0.08270000000000001,0.10160000000000001,0.7614979566666666
196,31500,4500,0.11710000000000002,0.40530000000000005,0.3083,0.0738,0.09550000000000002,0.73569582
197,36000,4500,0.11500000000000002,0.4148,0.3123,0.07300000000000001,0.08490000000000002,0.7101753366666668
198,40500,4500,0.0969,0.4368,0.3247,0.0663,0.0753,0.68577679
199,45000,4500,0.0932,0.4465,0.3346,0.0582,0.0675,0.67167718
200,-45000,9000,0.45399999999999996,0.099,0.07519999999999999,0.1361,0.2357,0.9736114966666668
201,-40500,9000,0.434,0.1018,0.0943,0.1423,0.22760000000000002,0.9699332766666668
202,-36000,9000,0.4139,0.12119999999999999,0.1011,0.14429999999999998,0.2195,0.96748949
203,-31500,9000,0.39166083391660833,0.1334866513348665,0.1135886411358864,0.1435856414358564,0.2176782321767823,0.9642250966666668
204,-27000,9000,0.371,0.14550000000000002,0.1183,0.1534,0.2118,0.9596421433333332
205,-22500,9000,0.34409999999999996,0.1648,0.1354,0.1508,0.20489999999999997,0.9537319233333332
206,-18000,9000,0.32589999999999997,0.18209999999999998,0.1455,0.15059999999999998,0.19589999999999996,0.9463602366666668
207,-13500,9000,0.31020000000000003,0.20110000000000003,0.17020000000000002,0.1443,0.17420000000000005,0.93587301
208,-9000,9000,0.27487251274872515,0.22277772222777725,0.17958204179582044,0.14548545145485453,0.17728227177282274,0.9234245433333332
209,-4500,9000,0.2565,0.24120000000000005,0.20300000000000004,0.13770000000000002,0.16160000000000002,0.9087635433333332
210,0,9000,0.2351764823517648,0.26847315268473154,0.2154784521547845,0.1352864713528647,0.14558544145585442,0.8915614366666667
211,4500,9000,0.213,0.2775,0.2375,0.1291,0.1429,0.8719303133333334
212,9000,9000,0.19801980198019806,0.30453045304530457,0.23822382238223827,0.12541254125412543,0.13381338133813384,0.8505798966666667
213,13500,9000,0.1776,0.322,0.2577,0.1143,0.1284,0.82746578
214,18000,9000,0.1626,0.352,0.26609999999999995,0.10869999999999998,0.11059999999999999,0.80363108
215,22500,9000,0.1409140914091409,0.3641364136413641,0.28882888288828884,0.10281028102810282,0.10331033103310332,0.7789889733333334
216,27000,9000,0.1376724655068986,0.36582683463307336,0.30473905218956204,0.10007998400319935,0.09168166366726653,0.7544873133333333
217,31500,9000,0.1257125712571257,0.3885388538853885,0.313031303130313,0.0876087608760876,0.0851085108510851,0.7298211499999999
218,36000,9000,0.10909999999999999,0.4063,0.32539999999999997,0.08019999999999998,0.07899999999999999,0.7058324533333333
219,40500,9000,0.09960000000000001,0.4131,0.33899999999999997,0.0755,0.0728,0.6832484733333334
220,45000,9000,0.0923092309230923,0.425042504250425,0.35313531353135313,0.0636063606360636,0.0659065906590659,0.6783507533333334
221,-45000,13500,0.4576,0.0973,0.08109999999999999,0.14400000000000002,0.22,0.97094836
222,-40500,13500,0.4409,0.1072,0.0909,0.1545,0.2065,0.9656126733333332
223,-36000,13500,0.4174,0.1165,0.1036,0.1567,0.20579999999999998,0.9641618233333332
224,-31500,13500,0.3923,0.1326,0.12539999999999998,0.1532,0.19649999999999998,0.9593627366666666
225,-27000,13500,0.3747,0.1423,0.1229,0.1611,0.19899999999999998,0.9542381233333334
226,-22500,13500,0.34850000000000003,0.15990000000000001,0.1444,0.1618,0.18539999999999998,0.94789961
227,-18000,13500,0.3335,0.1791,0.1528,0.1625,0.1721,0.93937836
228,-13500,13500,0.30079999999999996,0.1898,0.1752,0.1598,0.1744,0.9284848066666668
229,-9000,13500,0.2832,0.2146,0.1841,0.154,0.1641,0.9157819533333332
230,-4500,13500,0.2668,0.22519999999999998,0.2066,0.1491,0.1523,0.9008223933333334
231,0,13500,0.2416,0.2514,0.2235,0.1447,0.1388,0.88357372
232,4500,13500,0.21757824217578242,0.2686731326867313,0.24187581241875813,0.14158584141585842,0.1302869713028697,0.8639894566666667
233,9000,13500,0.19030000000000002,0.29650000000000004,0.25810000000000005,0.13130000000000003,0.12380000000000002,0.8426213366666667
234,13500,13500,0.1725,0.3126,0.2717,0.12339999999999998,0.11979999999999999,0.8202262833333334
235,18000,13500,0.168983101689831,0.32836716328367166,0.28257174282571745,0.12058794120587941,0.09949005099490049,0.7969677233333333
236,22500,13500,0.14490000000000003,0.3446000000000001,0.29900000000000004,0.11320000000000002,0.09830000000000001,0.77411499
237,27000,13500,0.14058594140585942,0.3572642735726427,0.3085691430856914,0.1044895510448955,0.08909109089091091,0.7498005266666666
238,31500,13500,0.1261873812618738,0.3698630136986301,0.3246675332466753,0.10138986101389862,0.07789221077892211,0.7266670733333334
239,36000,13500,0.11239999999999999,0.3854999999999999,0.3389,0.08729999999999999,0.07589999999999998,0.70385349
240,40500,13500,0.0977,0.4068,0.3546,0.0787,0.0622,0.6834409699999999
241,45000,13500,0.0864,0.4107,0.36619999999999997,0.0731,0.0636,0.7283327266666666
242,-40500,18000,0.4481,0.1007,0.0885,0.165,0.1977,0.96331452
243,-36000,18000,0.4328,0.11289999999999999,0.10369999999999999,0.1663,0.1843,0.9604965633333332
244,-31500,18000,0.4019,0.1229,0.1175,0.1721,0.1856,0.95641572
245,-27000,18000,0.37439999999999996,0.1411,0.1354,0.1714,0.1777,0.95057722
246,-22500,18000,0.35,0.154,0.1479,0.1705,0.1776,0.9436377933333334
247,-18000,18000,0.32563256325632567,0.1749174917491749,0.16301630163016304,0.17261726172617264,0.1638163816381638,0.93442444
248,-13500,18000,0.30870000000000003,0.184,0.1869,0.16620000000000001,0.1542,0.92334744
249,-9000,18000,0.28272827282728275,0.20312031203120312,0.19691969196919695,0.16591659165916592,0.15131513151315132,0.9101670233333332
250,-4500,18000,0.26287371262873716,0.22107789221077895,0.21757824217578245,0.16268373162683733,0.13578642135786423,0.8951754633333333
251,0,18000,0.2408,0.23579999999999998,0.2375,0.1553,0.1306,0.8776136666666667
252,4500,18000,0.21539999999999998,0.2611,0.25239999999999996,0.1502,0.1209,0.8581976299999999
253,9000,18000,0.20042004200420038,0.2764276427642764,0.2635263526352635,0.1459145914591459,0.11371137113711369,0.8371187466666666
254,13500,18000,0.183,0.29350000000000004,0.2779,0.1355,0.1101,0.8151361766666666
255,18000,18000,0.1673832616738326,0.31086891310868914,0.29787021297870214,0.130986901309869,0.0928907109289071,0.7926284666666666
256,22500,18000,0.1502,0.3262,0.3148,0.12269999999999999,0.0861,0.7700149866666667
257,27000,18000,0.1317,0.3488,0.3195,0.11630000000000001,0.0837,0.7474429499999999
258,31500,18000,0.1185,0.3668,0.33549999999999996,0.109,0.0702,0.7253606533333333
